,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
96,2016,NBA,1,29,SAS,Dejounte Murray,19.282,G,us,University of Washington,2017.0,2018.0,119.0,17.4,6.6,4.2,2.3,0.9,0.3,0.441,0.452,0.316,0.708,3.2,0.07400000000000001
97,2016,NBA,1,30,GSW,Damian Jones,20.364,F-C,us,Vanderbilt University,2017.0,2018.0,25.0,7.0,1.8,1.5,0.1,0.1,0.3,0.5,0.5,,0.4,0.1,0.025
98,2016,NBA,2,31,BOS,Deyonta Davis,19.208,C-F,us,Michigan State University,2017.0,2018.0,98.0,12.1,4.3,3.2,0.4,0.2,0.6,0.593,0.593,,0.64,3.2,0.13
99,2016,NBA,2,32,LAL,Ivica Zubac,19.102,C,ba,,2017.0,2018.0,81.0,12.6,5.5,3.5,0.7,0.3,0.6,0.519,0.525,0.0,0.71,2.1,0.099
100,2016,NBA,2,33,LAC,Cheick Diallo,19.288,F,ml,University of Kansas,2017.0,2018.0,69.0,11.3,4.9,4.1,0.3,0.2,0.4,0.5479999999999999,0.5479999999999999,,0.747,2.4,0.145
101,2016,NBA,2,34,PHO,Tyler Ulis,20.175,G,us,University of Kentucky,2017.0,2018.0,132.0,21.1,7.6,1.7,4.1,0.9,0.1,0.40299999999999997,0.439,0.28,0.8079999999999999,0.5,0.008
102,2016,NBA,2,35,BOS,Rade Zagorac,20.320999999999998,G-F,rs,,,,,,,,,,,,,,,,
103,2016,NBA,2,36,MIL,Malcolm Brogdon,23.2,G,us,University of Virginia,2017.0,2018.0,123.0,27.8,11.3,3.0,3.8,1.0,0.2,0.469,0.503,0.395,0.872,6.9,0.096
104,2016,NBA,2,37,HOU,Chinanu Onuaku,19.239,F-C,us,University of Louisville,2017.0,2018.0,6.0,12.3,3.0,2.3,0.7,0.5,0.2,0.583,0.583,,1.0,0.1,0.043
105,2016,NBA,2,38,MIL,Patrick McCaw,20.247,G,us,"University of Nevada, Las Vegas",2017.0,2018.0,128.0,15.9,4.0,1.4,1.2,0.6,0.2,0.42100000000000004,0.517,0.29600000000000004,0.775,2.3,0.054000000000000006
106,2016,NBA,2,39,NOP,David Michineau,22.023000000000003,G,gp,,,,,,,,,,,,,,,,
107,2016,NBA,2,40,NOP,Diamond Stone,19.137999999999998,C,us,University of Maryland,2017.0,2017.0,7.0,3.4,1.4,0.9,0.0,0.0,0.1,0.231,0.231,,1.0,-0.1,-0.21100000000000002
108,2016,NBA,2,41,ORL,Stephen Zimmerman,19.292,C,us,"University of Nevada, Las Vegas",2017.0,2017.0,19.0,5.7,1.2,1.8,0.2,0.1,0.3,0.32299999999999995,0.32299999999999995,,0.6,0.0,-0.005
109,2016,NBA,2,42,UTA,Isaiah Whitehead,21.113000000000003,G,us,Seton Hall University,2017.0,2018.0,89.0,20.5,7.2,2.4,2.4,0.6,0.4,0.41100000000000003,0.452,0.305,0.7879999999999999,-0.9,-0.025
110,2016,NBA,2,43,HOU,Zhou Qi,20.164,F-C,cn,,2018.0,2018.0,18.0,6.9,1.2,1.2,0.1,0.1,0.8,0.188,0.308,0.105,0.667,-0.3,-0.10400000000000001
111,2016,NBA,2,44,ATL,Isaia Cordinier,19.212,G,fr,,,,,,,,,,,,,,,,
112,2016,NBA,2,45,BOS,Demetrius Jackson,21.295,G,us,University of Notre Dame,2017.0,2018.0,20.0,4.9,1.3,0.8,0.6,0.3,0.1,0.455,0.5710000000000001,0.25,0.5,0.1,0.028999999999999998
113,2016,NBA,2,46,DAL,A.J. Hammons,23.305999999999997,C,us,Purdue University,2017.0,2017.0,22.0,7.4,2.2,1.6,0.2,0.0,0.6,0.405,0.375,0.5,0.45,0.0,-0.001
114,2016,NBA,2,47,ORL,Jake Layman,22.114,F,us,University of Maryland,2017.0,2018.0,70.0,5.8,1.6,0.6,0.3,0.2,0.1,0.294,0.354,0.239,0.75,-0.3,-0.040999999999999995
115,2016,NBA,2,48,CHI,Paul Zipser,22.131,G-F,de,,2017.0,2018.0,98.0,17.0,4.7,2.6,0.8,0.4,0.3,0.371,0.402,0.335,0.758,-0.1,-0.002
116,2016,NBA,2,49,DET,Michael Gbinije,24.024,G,us,Syracuse University,2017.0,2017.0,9.0,3.6,0.4,0.3,0.2,0.0,0.0,0.1,0.16699999999999998,0.0,1.0,-0.1,-0.136
117,2016,NBA,2,50,IND,Georges Niang,23.011999999999997,F,us,Iowa State University,2017.0,2018.0,32.0,3.9,0.9,0.8,0.3,0.2,0.0,0.27699999999999997,0.387,0.063,0.75,-0.3,-0.132
118,2016,NBA,2,51,BOS,Ben Bentil,21.092,F,gh,Providence College,2017.0,2017.0,3.0,3.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,,-0.1,-0.473
119,2016,NBA,2,52,UTA,Joel Bolomboy,22.151999999999997,F,ua,Weber State University,2017.0,2018.0,18.0,5.1,1.7,1.5,0.1,0.2,0.1,0.545,0.647,0.2,0.5,0.3,0.132
120,2016,NBA,2,53,DEN,Petr Cornelie,20.338,F,fr,,,,,,,,,,,,,,,,
121,2016,NBA,2,54,ATL,Kay Felder,21.092,G,us,Oakland University,2017.0,2018.0,58.0,9.1,3.8,1.0,1.3,0.4,0.1,0.364,0.385,0.268,0.754,-0.4,-0.040999999999999995
122,2016,NBA,2,55,BRK,Marcus Paige,22.291,G,us,University of North Carolina,2018.0,2018.0,5.0,5.6,2.4,0.8,0.6,0.0,0.0,0.28600000000000003,0.33299999999999996,0.25,1.0,0.0,-0.006
123,2016,NBA,2,56,DEN,Daniel Hamilton,20.325,G-F,us,University of Connecticut,2018.0,2018.0,6.0,4.7,2.0,0.8,1.3,0.2,0.0,0.455,0.5,0.4,,0.1,0.16899999999999998
124,2016,NBA,2,57,MEM,Wang Zhelin,22.16,C,cn,,,,,,,,,,,,,,,,
125,2016,NBA,2,58,BOS,Abdel Nader,22.276999999999997,F,eg,Iowa State University,2018.0,2018.0,48.0,10.9,3.0,1.5,0.5,0.3,0.2,0.336,0.321,0.354,0.59,-0.1,-0.013999999999999999
126,2016,NBA,2,59,SAC,Isaiah Cousins,22.108,G,us,University of Oklahoma,,,,,,,,,,,,,,,
127,2016,NBA,2,60,UTA,Tyrone Wallace,22.019000000000002,G,us,University of California,2018.0,2018.0,30.0,28.4,9.7,3.5,2.4,0.9,0.4,0.445,0.483,0.25,0.782,0.7,0.042
130,2015,NBA,1,1,MIN,Karl-Anthony Towns,19.227,C-F,us,University of Kentucky,2016.0,2018.0,246.0,34.9,21.6,11.7,2.4,0.7,1.4,0.5429999999999999,0.575,0.387,0.836,34.9,0.196
131,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,us,Ohio State University,2016.0,2018.0,191.0,27.8,14.6,3.6,4.3,1.1,0.2,0.409,0.455,0.344,0.754,1.7,0.015
132,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C-F,us,Duke University,2016.0,2018.0,131.0,23.5,12.9,5.3,1.0,0.3,1.0,0.515,0.517,0.2,0.682,3.0,0.047
133,2015,NBA,1,4,NYK,Kristaps Porzingis,19.332,F-C,lv,,2016.0,2018.0,186.0,31.0,17.8,7.1,1.3,0.7,2.0,0.43700000000000006,0.467,0.361,0.804,12.1,0.1
134,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,hr,,2016.0,2018.0,219.0,18.4,6.9,2.8,1.3,0.7,0.3,0.418,0.48700000000000004,0.332,0.8370000000000001,2.5,0.028999999999999998
135,2015,NBA,1,6,SAC,Willie Cauley-Stein,21.316,F-C,us,University of Kentucky,2016.0,2018.0,214.0,22.8,9.4,5.6,1.4,0.8,0.8,0.524,0.527,0.188,0.6409999999999999,10.7,0.105
136,2015,NBA,1,7,DEN,Emmanuel Mudiay,19.116,G,cd,,2016.0,2018.0,187.0,25.2,10.8,3.0,4.3,0.8,0.3,0.374,0.396,0.317,0.731,-2.0,-0.02
137,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,2016.0,2018.0,219.0,22.6,7.0,3.4,1.5,0.9,0.2,0.37,0.41700000000000004,0.295,0.76,2.8,0.027000000000000003
138,2015,NBA,1,9,CHO,Frank Kaminsky,22.087,F-C,us,University of Wisconsin,2016.0,2018.0,235.0,23.4,10.0,4.1,1.7,0.5,0.4,0.41200000000000003,0.457,0.34700000000000003,0.765,9.2,0.08
139,2015,NBA,1,10,MIA,Justise Winslow,19.095,F,us,Duke University,2016.0,2018.0,164.0,27.7,7.5,5.3,2.0,0.9,0.4,0.41,0.44,0.314,0.653,5.0,0.053
140,2015,NBA,1,11,IND,Myles Turner,19.097,C-F,us,University of Texas at Austin,2016.0,2018.0,206.0,27.9,12.7,6.5,1.1,0.7,1.8,0.498,0.522,0.34600000000000003,0.7829999999999999,15.8,0.132
141,2015,NBA,1,12,UTA,Trey Lyles,19.237000000000002,F,ca,University of Kentucky,2016.0,2018.0,224.0,17.5,7.4,3.9,1.0,0.4,0.3,0.435,0.483,0.358,0.703,6.9,0.084
142,2015,NBA,1,13,PHO,Devin Booker,18.242,G,us,University of Kentucky,2016.0,2018.0,208.0,32.2,19.8,3.3,3.5,0.8,0.3,0.426,0.455,0.365,0.8490000000000001,6.3,0.045
